Tue Aug  4 16:23:20 2020
Input Network: D:\01Verkehrsmodell\Modell_Hamburg\Netzintegration\HVB_IV_A0-2018_192_nf-213_Tag.ver
Change Excel: C:\Users\peter\Desktop\test.xlsx




node: old: 30029992 new: 849501.0
node: old: 30049991 new: 9709014.0
node: old: 30199991 new: 109521.0
node: old: 30259991 new: 809501.0
node: old: 30729991 new: 119503.0
node: old: 30729992 new: 119502.0
node: old: 1920303937 new: 10900.0
node: old: 1920303938 new: 10901.0
node: old: 1920303939 new: 10902.0
node: old: 1920303940 new: 10903.0
node: old: 1920303942 new: 10905.0
node: old: 1920303943 new: 1280195346.0
node: old: 1920303944 new: 10907.0
node: old: 1920303945 new: 10908.0
node: old: 1920303946 new: 10909.0
node: old: 1920304937 new: 11900.0
node: old: 1920304938 new: 11901.0
node: old: 1920304940 new: 11903.0
node: old: 1920304942 new: 11905.0
node: old: 1920304943 new: 11906.0
node: old: 1920304944 new: 11907.0
node: old: 1920304947 new: 11910.0
node: old: 1920304948 new: 11911.0
node: old: 1920304978 new: 11941.0
node: old: 1920315937 new: 22900.0
node: old: 1920315938 new: 22901.0
node: old: 1920315939 new: 22902.0
node: old: 1920327937 new: 34900.0
node: old: 1920328938 new: 35901.0
node: old: 1920328939 new: 35902.0
node: old: 1920328940 new: 35903.0
node: old: 1920328941 new: 35904.0
node: old: 1920329938 new: 36901.0
node: old: 1920329998 new: 36961.0
node: old: 1920353937 new: 60900.0
node: old: 1920353938 new: 60901.0
node: old: 1920353939 new: 60902.0
node: old: 1920353941 new: 60904.0
node: old: 1920354938 new: 61901.0
node: old: 1920354939 new: 61902.0
node: old: 1920354940 new: 61903.0
node: old: 1920354941 new: 61904.0
node: old: 1920356937 new: 63900.0
node: old: 1920356938 new: 63901.0
node: old: 1920356939 new: 639021.0
node: old: 1920358937 new: 65900.0
node: old: 1920363937 new: 70900.0
node: old: 1920363939 new: 70902.0
node: old: 1920363940 new: 70903.0
node: old: 1920363941 new: 70904.0
node: old: 1920363942 new: 70905.0
node: old: 1920363943 new: 70906.0
node: old: 1920364937 new: 71900.0
node: old: 1920364938 new: 71901.0
node: old: 1920364939 new: 71902.0
node: old: 1920364941 new: 71904.0
node: old: 1920364942 new: 71905.0
node: old: 1920364944 new: 71907.0
node: old: 1920365937 new: 72900.0
node: old: 1920365938 new: 72901.0
node: old: 1920365939 new: 72902.0
node: old: 1920373937 new: 80900.0
node: old: 1920376937 new: 83900.0
node: old: 1920376938 new: 83901.0
node: old: 1920377937 new: 84900.0
node: old: 1920377938 new: 84901.0
node: old: 1920377939 new: 84902.0
node: old: 1920377940 new: 84903.0
node: old: 1920383937 new: 90900.0
node: old: 1920383938 new: 90901.0
node: old: 1920383939 new: 90902.0
node: old: 1920383940 new: 90903.0
node: old: 1920383941 new: 909041.0
node: old: 1920383942 new: 90905.0
node: old: 1920383943 new: 90906.0
node: old: 1920383944 new: 90907.0
node: old: 1920383945 new: 90908.0
node: old: 1920384937 new: 91900.0
node: old: 1920384939 new: 91902.0
node: old: 1920384940 new: 91903.0
node: old: 1920384941 new: 91904.0
node: old: 1920385937 new: 92900.0
node: old: 1920385938 new: 92901.0
node: old: 1920385939 new: 92902.0
node: old: 1920385940 new: 92903.0
!!Error: node: old: 2009191442
--finished after 20 seconds--
